SEQN,Gender,Age,Ethnicity,US born,Education,Marital Status,HouseholdSize,AgeUnder6,Age6to18,AgeOver60,HouseholdIncome,IncomePovertyRatio
95683,Female,0,White,1,3.0,,3,1,0,0,433.0,5.0
95691,Male,0,Other Hispanic,1,5.0,,6,3,1,0,35.0,0.86
95695,Male,0,Mexican-American,1,3.0,,5,1,1,0,63.0,
95697,Female,0,Other Hispanic,1,3.0,,4,2,0,0,161.0,5.0
95730,Female,0,Black,1,5.0,,3,1,0,0,25.0,1.13
95737,Male,0,White,1,5.0,,5,1,0,1,45.0,1.39
95753,Female,0,White,1,,,3,1,0,0,247.0,5.0
95804,Male,0,Mexican-American,1,,,6,2,1,0,63.0,
95847,Female,0,White,1,,,5,1,0,0,55.0,1.77
95872,Female,0,White,1,4.0,,4,2,0,0,65.0,2.44
95885,Female,0,White,1,5.0,,4,1,0,1,35.0,1.34
95893,Male,0,Others,1,,,4,2,0,0,63.0,
95894,Female,0,Black,1,,,5,3,1,0,25.0,0.68
96021,Male,0,White,1,,,7,3,1,0,75.0,1.5
96054,Female,0,Mexican-American,1,,,6,2,2,0,45.0,1.14
96059,Female,0,Mexican-American,1,4.0,,7,1,2,0,20.0,0.49
96146,Female,0,White,1,5.0,,4,2,0,0,88.0,3.19
96182,Female,0,Black,1,1.0,,4,1,0,0,45.0,1.54
96183,Male,0,White,1,5.0,,5,2,1,0,25.0,0.75
96200,Male,0,White,1,4.0,,5,1,1,0,65.0,0.69
96212,Female,0,Mexican-American,1,1.0,,6,2,1,0,20.0,0.47
96255,Male,0,White,1,5.0,,4,2,0,0,75.0,2.85
96267,Male,0,Other Hispanic,1,,,4,1,2,0,35.0,1.0
96307,Female,0,White,1,3.0,,4,2,0,0,25.0,0.8
96316,Male,0,Mexican-American,1,,,2,1,0,0,15.0,0.77
96324,Male,0,White,1,,,3,1,0,0,55.0,2.17
96359,Male,0,Black,1,,,2,1,0,0,15.0,0.8
96384,Male,0,White,1,5.0,,4,2,0,0,178.0,4.74
96447,Male,0,Black,1,4.0,,4,1,1,0,61.0,
96549,Male,0,Black,1,2.0,,4,1,1,0,35.0,1.2
96556,Female,0,Other Hispanic,1,4.0,,5,1,0,0,19.0,
96575,Male,0,Others,1,3.0,,5,1,2,0,17.0,
96662,Male,0,White,1,,,3,1,0,0,593.0,5.0
96668,Female,0,White,1,5.0,,3,1,0,0,55.0,2.5
96703,Female,0,White,1,4.0,,4,2,0,0,55.0,1.87
96714,Male,0,Black,1,1.0,,3,1,0,0,63.0,
96747,Female,0,White,1,4.0,,3,1,0,0,469.0,5.0
96779,Male,0,Black,1,,,6,1,0,2,63.0,
96807,Male,0,Mexican-American,1,2.0,,6,3,0,0,15.0,0.31
96814,Female,0,Mexican-American,1,5.0,,7,3,2,0,95.0,1.69
96832,Male,0,Mexican-American,1,,,4,1,0,0,5.0,0.06
96845,Female,0,Others,1,3.0,,7,2,3,0,65.0,1.62
96853,Female,0,White,1,,,4,2,0,0,45.0,1.59
96880,Female,0,Black,1,4.0,,4,2,0,0,45.0,1.39
96920,Female,0,White,1,5.0,,3,1,0,0,89.0,4.41
96949,Female,0,White,1,5.0,,2,1,0,0,25.0,1.23
96986,Male,0,White,1,,,5,3,0,0,82.0,2.55
97005,Male,0,White,1,5.0,,6,3,0,1,63.0,
97066,Male,0,Mexican-American,1,,,7,1,3,2,207.0,1.68
97074,Female,0,Black,1,3.0,,4,2,0,0,5.0,0.1
97082,Female,0,White,1,4.0,,4,2,0,0,908.0,4.88
97083,Male,0,Other Hispanic,1,2.0,,2,1,0,0,55.0,3.04
97085,Female,0,Black,1,3.0,,3,1,0,0,25.0,0.98
97086,Female,0,Mexican-American,1,5.0,,3,1,0,0,35.0,1.44
97134,Female,0,Mexican-American,1,3.0,,5,2,1,0,5.0,0.15
97136,Male,0,Mexican-American,1,3.0,,4,2,0,0,55.0,2.15
97190,Female,0,White,1,4.0,,5,3,0,0,15.0,0.46
97195,Male,0,Other Hispanic,1,1.0,,4,2,0,0,45.0,1.39
97203,Male,0,Other Hispanic,1,,,3,1,0,0,20.0,0.83
97214,Male,0,White,1,4.0,,3,1,0,0,35.0,1.22
97276,Female,0,Mexican-American,1,4.0,,4,2,0,0,35.0,1.01
97294,Male,0,White,1,,,5,1,1,0,97.0,3.41
97300,Male,0,Mexican-American,1,,,7,1,2,0,15.0,0.41
97317,Female,0,Mexican-American,1,5.0,,5,1,2,0,55.0,1.53
97318,Female,0,Mexican-American,1,3.0,,5,2,1,0,45.0,1.46
97347,Male,0,White,1,2.0,,7,2,1,1,75.0,1.94
97355,Female,0,White,1,,,3,1,0,0,55.0,2.41
97434,Female,0,Black,1,3.0,,5,3,0,0,10.0,0.29
97476,Female,0,Mexican-American,1,,,7,3,0,0,35.0,0.84
97480,Female,0,Others,1,,,3,1,0,0,76.0,3.67
97534,Male,0,Black,1,3.0,,7,2,1,1,65.0,1.29
97543,Male,0,White,1,,,4,2,0,0,65.0,2.44
97553,Female,0,Black,1,2.0,,4,2,0,0,10.0,
97559,Male,0,Black,1,5.0,,2,1,0,0,10.0,0.3
97565,Male,0,White,1,4.0,,5,1,1,0,78.0,2.71
97566,Male,0,Other Hispanic,1,2.0,,5,2,1,0,55.0,1.7
97612,Male,0,White,1,,,3,1,0,0,75.0,3.18
97628,Male,0,White,1,,,5,2,0,0,,
97634,Male,0,Mexican-American,1,,,4,1,1,0,25.0,0.96
97636,Female,0,White,1,2.0,,4,2,0,0,75.0,2.59
97655,Male,0,White,1,,,5,1,2,0,35.0,0.88
